name;ctrip_code;timezone;offsetUtc
朝阳;CHG;Asia/Shanghai;28800
天水;THQ;Asia/Chongqing;28800
桂林;KWL;Asia/Chongqing;28800
长治;CIH;Asia/Shanghai;28800
汉中;HZG;Asia/Chongqing;28800
张掖;YZY;Asia/Chongqing;28800
阿勒泰;AAT;Asia/Urumqi;21600
遵义;ZYI;Asia/Chongqing;28800
郑州;CGO;Asia/Shanghai;28800
百色;AEB;Asia/Chongqing;28800
潍坊;WEF;Asia/Shanghai;28800
永州;LLF;Asia/Shanghai;28800
贵阳;KWE;Asia/Chongqing;28800
昆明;KMG;Asia/Chongqing;28800
海口;HAK;Asia/Chongqing;28800
拉萨;LXA;Asia/Urumqi;21600
丹东;DDG;Asia/Shanghai;28800
伦敦;LHR;Europe/London;0
柳州;LZH;Asia/Chongqing;28800
邯郸;HDG;Asia/Shanghai;28800
兰州;LHW;Asia/Chongqing;28800
塔城;TCG;Asia/Urumqi;21600
昌都;BPX;Asia/Urumqi;21600
科隆;CGN;Europe/Berlin;3600
齐齐哈尔;NDG;Asia/Harbin;28800
克拉玛依;KRY;Asia/Urumqi;21600
达卡;DAC;Asia/Dhaka;21600
武汉;WUH;Asia/Shanghai;28800
台州;HYN;Asia/Shanghai;28800
迪拜;DXB;Asia/Dubai;14400
厦门;XMN;Asia/Shanghai;28800
银川;INC;Asia/Chongqing;28800
昭通;ZAT;Asia/Chongqing;28800
温州;WNZ;Asia/Shanghai;28800
济宁;JNG;Asia/Shanghai;28800
营口;YKH;Asia/Shanghai;28800
合肥;HFE;Asia/Shanghai;28800
呼和浩特;HET;Asia/Chongqing;28800
运城;YCU;Asia/Shanghai;28800
那不勒斯;NAP;Europe/Rome;3600
民都鲁;BTU;Asia/Kuching;28800
阿瓜迪亚;BQN;America/Puerto_Rico;-14400
伊基托斯;IQT;America/Lima;-18000
玛利亚娜;MPT;Asia/Dili;32400
加里宁格勒;KGD;Europe/Kaliningrad;7200
釜山;PUS;Asia/Seoul;32400
坦佩蕾;TMP;Europe/Helsinki;7200
西棕榈滩;PBI;America/New_York;-18000
长滩;LGB;America/Los_Angeles;-28800
柏林;TXL;Europe/Berlin;3600
豪勋爵岛;LDH;Australia/Lord_Howe;37800
乞力马扎罗;JRO;Africa/Dar_es_Salaam;10800
巴塔;BSG;Africa/Malabo;3600
巴尔的摩;BWI;America/New_York;-18000
里约热内卢;GIG;America/Sao_Paulo;-10800
都灵;TRN;Europe/Rome;3600
德比;DRB;Australia/Perth;28800
伯尔尼;BRN;Europe/Zurich;3600
卡尔加里;YYC;America/Edmonton;-25200
海德拉巴;HYD;Asia/Kolkata;19800
迪马布尔;DMU;Asia/Kolkata;19800
地拉那;TIA;Europe/Tirane;3600
阿拉瓜依纳;AUX;America/Araguaina;-10800
阿比林;ABI;America/Chicago;-21600
图卢兹;TLS;Europe/Paris;3600
杜尚别;DYU;Asia/Dushanbe;18000
桑给巴尔;ZNZ;Africa/Dar_es_Salaam;10800
慕尼黑;MUC;Europe/Berlin;3600
里昂;LYS;Europe/Paris;3600
辛菲罗波尔;SIP;Europe/Simferopol;10800
莫比尔;MOB;America/Chicago;-21600
新德里;DEL;Asia/Kolkata;19800
铜仁;TEN;Asia/Chongqing;28800
穆斯乔;YMJ;America/Regina;-21600
安克雷奇;ANC;America/Anchorage;-32400
不来梅;BRE;Europe/Berlin;3600
吉林市;JIL;Asia/Harbin;28800
马耳他;MLA;Europe/Malta;3600
托莱多;TOL;America/New_York;-18000
跳羚;SBU;Africa/Johannesburg;7200
戈尔菲托;GLF;America/Costa_Rica;-21600
新加坡;SIN;Asia/Singapore;28800
科皮亚波;CPO;America/Santiago;-14400
瓜达拉哈拉;GDL;America/Mexico_City;-21600
朗塞斯顿;LST;Australia/Hobart;36000
印多尔;IDR;Asia/Kolkata;19800
成都;CTU;Asia/Chongqing;28800
日惹;JOG;Asia/Jakarta;25200
亚历山大;ALY;Africa/Cairo;7200
布拉德福德;BFD;America/New_York;-18000
查尔斯顿;CHS;America/New_York;-18000
马库维克;YMN;America/Goose_Bay;-14400
库里蒂巴;CWB;America/Sao_Paulo;-10800
小松;KMQ;Asia/Tokyo;32400
苏圣玛丽;YAM;America/Toronto;-18000
哈伯罗内;GBE;Africa/Gaborone;7200
纽约;JFK;America/New_York;-18000
塞萨洛尼基;SKG;Europe/Athens;7200
科尼亚;KYA;Europe/Istanbul;7200
布加勒斯特;OTP;Europe/Bucharest;7200
华盛顿;WAS;America/New_York;-18000
布拉格;PRG;Europe/Prague;3600
首尔;ICN;Asia/Seoul;32400
阿布扎比;AUH;Asia/Dubai;14400
科威特;KWI;Asia/Kuwait;10800
吉达;JED;Asia/Riyadh;10800
罗马;FCO;Europe/Rome;3600
马尼拉;MNL;Asia/Manila;28800
吉隆坡;KUL;Asia/Kuala_Lumpur;28800
布达佩斯;BUD;Europe/Budapest;3600
曼谷;BKK;Asia/Bangkok;25200
墨西哥;MEX;America/Mexico_City;-21600
迈阿密;MIA;America/New_York;-18000
拉各斯;LOS;Africa/Lagos;3600
圣地亚哥;SCL;America/Santiago;-14400
德黑兰;THR;Asia/Tehran;12600
拉合尔;LHE;Asia/Karachi;18000
基多;UIO;America/Guayaquil;-18000
香港;HKG;Asia/Hong_Kong;28800
温哥华;VAN;America/Vancouver;-28800
华沙;WAW;Europe/Warsaw;3600
加德满都;KTM;Asia/Kathmandu;20700
伊斯兰堡;ISB;Asia/Karachi;18000
底特律;DTT;America/Detroit;-18000
约翰内斯堡;JNB;Africa/Johannesburg;7200
夏洛特;CLT;America/New_York;-18000
伯明翰;BHX;Europe/London;0
悉尼;YQY;America/Glace_Bay;-14400
伊斯坦布尔;IST;Europe/Istanbul;7200
奥克兰;AKL;Pacific/Auckland;43200
东京成田;NRT;Asia/Tokyo;32400
科伦坡;CMB;Asia/Colombo;19800
利雅得;ruh;Asia/Riyadh;10800
旧金山;SFO;America/Los_Angeles;-28800
阿拉木图;ALA;Asia/Almaty;21600
雅典;ATH;Europe/Athens;7200
米兰;MXP;Europe/Rome;3600
波士顿;BOS;America/New_York;-18000
基辅;IEV;Europe/Kiev;7200
波哥大;BOG;America/Bogota;-18000
布鲁塞尔;BRU;Europe/Brussels;3600
西雅图;SEA;America/Los_Angeles;-28800
卢萨卡;LUN;Africa/Lusaka;7200
布里斯班;BNE;Australia/Brisbane;36000
休斯顿;HOU;America/Chicago;-21600
大阪;KIX;Asia/Tokyo;32400
波尔图;OPO;Europe/Lisbon;0
仰光;RGN;Asia/Rangoon;23400
罗安达;LAD;Africa/Luanda;3600
萨格勒布;ZAG;Europe/Zagreb;3600
亚松森;ASU;America/Asuncion;-14400
阿尔及尔;ALG;Africa/Algiers;3600
奥斯陆;OSL;Europe/Oslo;3600
卢森堡;LUX;Europe/Luxembourg;3600
里尔;LIL;Europe/Paris;3600
沙巴;BKI;Asia/Kuching;28800
班加罗尔;BLR;Asia/Kolkata;19800
圣多明各;SDQ;America/Santo_Domingo;-14400
巴林;BAH;Asia/Bahrain;10800
埃里温;EVN;Asia/Yerevan;14400
恩德培;EBB;Africa/Kampala;10800
都柏林;DUB;Europe/Dublin;0
瓦伦西亚;VLN;America/Caracas;-14400
德班;DUR;Africa/Johannesburg;7200
名古屋;NGO;Asia/Tokyo;32400
开普敦;CPT;Africa/Johannesburg;7200
危地马拉城;GUA;America/Guatemala;-21600
纽瓦克;EWR;America/New_York;-18000
马赛;MRS;Europe/Paris;3600
达曼;DMM;Asia/Riyadh;10800
马德拉斯;MAA;Asia/Kolkata;19800
鹿特丹;RTM;Europe/Amsterdam;3600
亨茨维尔;HSV;America/Chicago;-21600
槟城;PEN;Asia/Kuala_Lumpur;28800
圣萨尔瓦多;SAL;America/El_Salvador;-21600
圣迭戈;SAN;America/Los_Angeles;-28800
利雅德;RUH;Asia/Riyadh;10800
哈拉雷;HRE;Africa/Harare;7200
费城;PHL;America/New_York;-18000
突尼斯;TUN;Africa/Tunis;3600
加拉加斯;CCS;America/Caracas;-14400
安曼;AMM;Asia/Amman;7200
加尔各答;CCU;Asia/Kolkata;19800
维也纳;VIE;Europe/Vienna;3600
阿克拉;ACC;Africa/Accra;0
利物浦;LPL;Europe/London;0
威尼斯;VCE;Europe/Rome;3600
波尔多;BOO;Europe/Paris;3600
多佛尔;YUL;America/New_York;-18000
阿什哈巴德;ASB;Asia/Ashgabat;18000
里士满;RIC;America/New_York;-18000
圣胡安;WSJ;America/Denver;-25200
沙迦;SHJ;Asia/Dubai;14400
明斯特;MSR;Europe/Berlin;3600
阿布贾;ABV;Africa/Lagos;3600
萨尔瓦多;SSA;America/Bahia;-10800
巴士拉;BSR;Asia/Baghdad;10800
澳门;MFM;Asia/Macau;28800
泗水;SUB;Asia/Jakarta;25200
科钦;COK;Asia/Kolkata;19800
的黎波里;TIP;Africa/Tripoli;7200
德累斯顿;DRS;Europe/Berlin;3600
伊兹密尔;ADB;Europe/Istanbul;7200
宿雾;CEB;Asia/Manila;28800
马尔默;HMA;Europe/Stockholm;3600
孟菲斯;MEM;America/Chicago;-21600
维多利亚;YYJ;America/Vancouver;-28800
吉大港;CGP;Asia/Dhaka;21600
斯特拉斯堡;SXB;Europe/Paris;3600
符拉迪沃斯托克;VVO;Asia/Vladivostok;36000
盐湖城;SLC;America/Denver;-25200
基督城;CHC;Pacific/Auckland;43200
大马士革;DAM;Asia/Damascus;7200
约旦;JDN;America/Denver;-25200
匹兹堡;AGC;America/New_York;-18000
索非亚;SOF;Europe/Sofia;7200
路易斯维尔;SDF;America/New_York;-18000
阿斯塔纳;TSE;Asia/Almaty;21600
达喀尔;DKR;Africa/Dakar;0
尼斯;NCE;Europe/Paris;3600
南特;NTE;Europe/Paris;3600
安卡拉;ANK;Europe/Istanbul;7200
维罗纳;VRN;Europe/Rome;3600
埃德蒙顿;YXD;America/Edmonton;-25200
阿比让;ABJ;Africa/Abidjan;0
休斯敦;IAH;America/Chicago;-21600
乌兰巴托;ULN;Asia/Ulaanbaatar;28800
汉诺威;HAJ;Europe/Berlin;3600
蒙得维的亚;MVD;America/Montevideo;-10800
叶卡捷琳堡;SVX;Asia/Yekaterinburg;18000
巴拿马城;PTY;America/Panama;-18000
爱丁堡;EDI;Europe/London;0
林茨;LNZ;Europe/Vienna;3600
利比里亚;LIR;America/Costa_Rica;-21600
东伦敦;ELS;Africa/Johannesburg;7200
台中;RMQ;Asia/Taipei;28800
阿利坎特;ALC;Europe/Madrid;3600
萨拉戈萨;ZAZ;Europe/Madrid;3600
塔尔萨;TUL;America/Chicago;-21600
温得和克;WDH;Africa/Windhoek;3600
利隆圭;LLW;Africa/Blantyre;7200
卡利;CLO;America/Bogota;-18000
圣路易斯;STL;America/Chicago;-21600
黄金海岸;OOL;Australia/Brisbane;36000
多特蒙德;DTM;Europe/Berlin;3600
巴西利亚;BSB;America/Sao_Paulo;-10800
代顿;DAY;America/New_York;-18000
拿骚;NAS;America/Nassau;-18000
